    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    51.54      8.39633e+16        5         0.107012              N/A      1.28m 1
   1     6.33          81274.4        7        0.0902311              N/A     16.43s 2
   2     6.21          10005.3        7        0.0902311              N/A     17.04s 2
   3     6.43          346.235        7        0.0902311              N/A     20.04s 2
   4     6.25          172.688       13        0.0868361              N/A     15.16s 3
   5     7.93          937.606       13        0.0868361              N/A     16.41s 4
   6     9.01          2481.34        7        0.0866537              N/A     16.64s 2
   7     7.10          926.729        7        0.0866537              N/A     15.64s 2
   8     7.13           259366        7        0.0866537              N/A     13.69s 2
   9     7.01          2097.63        7        0.0866537              N/A     14.67s 2
  10     6.98           198193        7        0.0866537              N/A     14.37s 2
  11     6.57            73472        7        0.0866537              N/A     12.26s 2
  12     6.75      1.01247e+07        7        0.0866537              N/A     13.67s 2
  13     6.85          2134.34        7        0.0866537              N/A     15.16s 2
  14     6.51          51.8229        7        0.0866537              N/A     13.35s 2
  15     6.78          31.9306        7        0.0866537              N/A      9.53s 2
  16     6.82          4.61125        7        0.0866537              N/A     13.09s 2
  17     6.63          111.541        7        0.0866537              N/A     10.76s 2
  18     6.79          956.828        7        0.0866537              N/A      9.31s 2
  19     6.90          131.156        7        0.0866537              N/A     12.63s 2
  20     7.05          19162.6        7        0.0866537              N/A      8.92s 2
  21     6.59          67.3876        7        0.0866537              N/A      8.27s 2
  22     6.47          10.0781        7        0.0866537              N/A      9.28s 2
  23     6.93          428.131        7        0.0866537              N/A      9.07s 2
  24     6.69          9408.74        7        0.0866537              N/A      7.02s 2
  25     6.74          18485.9        7        0.0866537              N/A      9.05s 2
  26     6.59          936.956        7        0.0866537              N/A      8.98s 2
  27     6.86          47.4112        7        0.0866537              N/A      6.15s 2
  28     6.43          6.51156        7        0.0866537              N/A      6.29s 2
  29     6.83          303.282        7        0.0866537              N/A      7.15s 2
  30     6.91          25.7102        7        0.0866537              N/A      5.11s 2
  31     6.95           151589        7        0.0866537              N/A      6.51s 2
  32     7.02            50596        7        0.0866537              N/A      5.74s 2
  33     6.76          33095.4        7        0.0866537              N/A      5.81s 2
  34     6.62          51.6383        7        0.0866537              N/A      5.63s 2
  35     6.96          15324.5        7        0.0866537              N/A      4.80s 2
  36     6.47           7.6129        7        0.0866537              N/A      4.27s 2
  37     6.34          19.6454        7        0.0866537              N/A      5.02s 2
  38     6.27          1054.97        7        0.0866537              N/A      3.60s 2
  39     6.92          1334.46        7        0.0866537              N/A      3.65s 2
  40     6.67          14.8186        7        0.0866537              N/A      3.85s 2
  41     6.86          858.063        7        0.0866537              N/A      2.66s 2
  42     6.39          12711.7        7        0.0866537              N/A      2.25s 2
