    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    51.54      1.10985e+16       23         0.284388              N/A     30.93s 2
   1    14.62          6496.27       25         0.240862              N/A      8.18s 6
   2    16.23          8424.42       25         0.236248              N/A      8.60s 7
   3    15.22      8.03056e+06        7         0.193906              N/A      8.44s 2
   4     8.23           306336        9         0.148293              N/A      8.14s 3
   5     7.78      5.33255e+06       15         0.104464              N/A      7.42s 5
   6     9.22            25353       13        0.0591242              N/A      7.21s 3
   7     9.22          599.793       15        0.0589495              N/A      7.31s 5
   8    10.98          58797.1       21        0.0516723              N/A      7.08s 6
   9    12.46            40959       29        0.0439774              N/A      7.36s 11
  10    15.68          800.183       29        0.0439774              N/A      7.14s 12
  11    17.37          11489.8       29        0.0439774              N/A      7.94s 12
  12    18.35          656.952       29        0.0439774              N/A      7.85s 12
  13    18.51          4068.48       29        0.0439774              N/A      6.99s 11
  14    19.19          1298.09       33        0.0434818              N/A      7.09s 13
  15    20.32          1815.33       33        0.0434818              N/A      6.71s 12
  16    20.50          379.448       37        0.0432495              N/A      6.97s 13
  17    20.50           5659.6       43        0.0432075              N/A      6.85s 14
  18    23.78          18516.4       43        0.0432075              N/A      6.73s 14
  19    24.98          22.8418       43        0.0432075              N/A      8.38s 14
  20    23.52          26384.5       41        0.0431584              N/A      5.88s 14
  21    22.82      1.80977e+06       53        0.0426943              N/A      5.82s 15
  22    24.53           564.45       51        0.0425572              N/A      6.26s 15
  23    26.97          1796.68       79        0.0417881              N/A      5.69s 18
  24    31.11          31.3203      103         0.041722              N/A      5.39s 23
  25    38.03          214.241      103         0.041722              N/A      6.65s 23
  26    40.49          1270.99      109        0.0416774              N/A      5.38s 21
  27    40.78           272.78       69        0.0411753              N/A      5.54s 19
  28    35.88          90.5613       69        0.0411753              N/A      4.98s 18
  29    34.80            35582       69        0.0410177              N/A      4.78s 19
  30    35.06          1275.56       43          0.03995              N/A      6.60s 15
  31    30.31          33373.5       49        0.0370301              N/A      4.85s 17
